method,imp_id,syn_id,variable,cosine,js,wasserstein
ecdf,2.0,3.0,sbp_bin1,0.2969874282567554,0.0462998720189254,0.0025070183456290113
ecdf,2.0,3.0,sbp_bin2,0.14290301322321097,0.034496707612164314,0.0022365979639937823
ecdf,2.0,3.0,sbp_bin3,0.027851251828968304,0.03343225468186352,0.0017161062026181074
ecdf,2.0,3.0,sbp_bin4,0.11087202235668203,0.03933596049167779,0.06873019245537922
ecdf,2.0,3.0,sbp_bin5,0.09648839102511042,0.02917090398707558,0.002132315973146409
ecdf,2.0,3.0,sbp_bin6,0.08014487475170962,0.0353618404414938,0.00314985127177806
ecdf,2.0,3.0,sbp_bin7,0.0737851944225506,0.040580946662586374,0.07278107978344757
ecdf,2.0,3.0,sbp_bin8,0.09283834065854624,0.018200538739970375,0.002373040072173315
ecdf,2.0,3.0,sbp_bin9,0.12676606673062096,0.023351946064557115,0.00318902070632175
ecdf,2.0,3.0,sbp_bin10,0.11525643828693666,0.021519846099910978,0.04875502753763422
ecdf,2.0,3.0,dbp_bin1,0.17235560426115182,0.05259462205250584,0.005144782371152791
ecdf,2.0,3.0,dbp_bin2,0.08553842277851242,0.0325290544851139,0.003948601499423296
ecdf,2.0,3.0,dbp_bin3,0.03603053074206097,0.03702071729940549,0.00909561967201757
ecdf,2.0,3.0,dbp_bin4,0.11211906929615345,0.032227596719344914,0.009737803728826573
ecdf,2.0,3.0,dbp_bin5,0.0925517186346887,0.025375104318944294,0.1431025136697003
ecdf,2.0,3.0,dbp_bin6,0.09070909784866177,0.026944228500040353,0.02461042115584617
ecdf,2.0,3.0,dbp_bin7,0.08111188809230363,0.03233399153981651,0.0031837571629959155
ecdf,2.0,3.0,dbp_bin8,0.06272077790954367,0.023649167998489744,0.002637943222829931
ecdf,2.0,3.0,dbp_bin9,0.0821938338473388,0.025092787844148885,0.0034525983596052755
ecdf,2.0,3.0,dbp_bin10,0.10504559757148302,0.03858466157787164,0.003357682942458029
ecdf,2.0,4.0,sbp_bin1,0.2819088912073434,0.045775172834311185,0.004844290657439458
ecdf,2.0,4.0,sbp_bin2,0.14712318828418913,0.034593924202223174,0.002171405646657637
ecdf,2.0,4.0,sbp_bin3,0.028552991035787234,0.03377843837968007,0.002391910504921558
ecdf,2.0,4.0,sbp_bin4,0.07373891303787383,0.03695179445976542,0.0027142900503854773
ecdf,2.0,4.0,sbp_bin5,0.09733206380967818,0.029373803245230447,0.0015670747937183939
ecdf,2.0,4.0,sbp_bin6,0.08293518554000534,0.03634246837554202,0.00752163135636099
ecdf,2.0,4.0,sbp_bin7,0.07161318092293056,0.034181587322029285,0.002205123535482301
ecdf,2.0,4.0,sbp_bin8,0.09375426838407952,0.018181382960140362,0.0017737846449004755
ecdf,2.0,4.0,sbp_bin9,0.13092828700055492,0.02232046966010693,0.020934059898469172
ecdf,2.0,4.0,sbp_bin10,0.08957086363033506,0.021647741002295367,0.0021123097451206593
ecdf,2.0,4.0,dbp_bin1,0.17185019670949442,0.05325718730203564,0.006064469131305759
ecdf,2.0,4.0,dbp_bin2,0.0890493739832855,0.03313551738032683,0.0047839172433679425
ecdf,2.0,4.0,dbp_bin3,0.035609155380248225,0.03705572008485201,0.009950698545672305
ecdf,2.0,4.0,dbp_bin4,0.10475861227578309,0.03192876871862183,0.0022351824980466556
ecdf,2.0,4.0,dbp_bin5,0.0957741663154773,0.01611653867055701,0.0023055091170638806
ecdf,2.0,4.0,dbp_bin6,0.08332088075428878,0.031080627091161925,0.05102300397283073
ecdf,2.0,4.0,dbp_bin7,0.07954454000790134,0.03212882247244072,0.002077955365152596
ecdf,2.0,4.0,dbp_bin8,0.06057111040378427,0.024574468971345333,0.02304916906674152
ecdf,2.0,4.0,dbp_bin9,0.0813793850297384,0.02502514931861992,0.0016592176086120695
ecdf,2.0,4.0,dbp_bin10,0.10295604240659173,0.03881746301290546,0.0026293305993421315
ecdf,2.0,5.0,sbp_bin1,0.2899633784853781,0.046229463229761514,0.0028856825749167692
ecdf,2.0,5.0,sbp_bin2,0.13994745113457552,0.034294488294802,0.0037510656436487706
ecdf,2.0,5.0,sbp_bin3,0.028214493615198566,0.033507837712394,0.0022653721682847896
ecdf,2.0,5.0,sbp_bin4,0.07490397309073216,0.03760988749969118,0.0042706246585321374
ecdf,2.0,5.0,sbp_bin5,0.0967376070900492,0.029323680975479067,0.001815130275337889
ecdf,2.0,5.0,sbp_bin6,0.07974193251483774,0.03576764618941974,0.007589297638560187
ecdf,2.0,5.0,sbp_bin7,0.07706727074090158,0.03924656175292534,0.04877894173777539
